frame_number grid_index player_position_x_meters player_position_y_meters
446 7710 4.6 -1
446 8350 5.4 -1
449 6751 3.4 -0.8
449 7385 4.2 -2
449 8030 5 -1
449 8338 5.4 -3.4
449 8339 5.4 -3.2
450 7068 3.8 -1.4
450 7072 3.8 -0.6
450 7385 4.2 -2
450 8030 5 -1
451 7072 3.8 -0.6
451 8188 5.2 -1.4
454 6592 3.2 -0.6
454 7060 3.8 -3
454 7220 4 -3
454 7235 4 0
454 8029 5 -1.2
455 6431 3 -0.8
455 7060 3.8 -3
455 7072 3.8 -0.6
455 7220 4 -3
455 7234 4 -0.2
455 7709 4.6 -1.2
458 6430 3 -1
458 6908 3.6 -1.4
458 7060 3.8 -3
458 7072 3.8 -0.6
458 7220 4 -3
458 7548 4.4 -1.4
459 6270 2.8 -1
459 6748 3.4 -1.4
459 7060 3.8 -3
459 7071 3.8 -0.8
459 7220 4 -3
460 6270 2.8 -1
460 6581 3.2 -2.8
460 6582 3.2 -2.6
460 6740 3.4 -3
460 6741 3.4 -2.8
460 6755 3.4 0
460 7071 3.8 -0.8
460 7548 4.4 -1.4
462 6111 2.6 -0.8
462 6573 3.2 -4.4
462 6574 3.2 -4.2
462 6917 3.6 0.4
462 7548 4.4 -1.4
464 6430 3 -1
464 6573 3.2 -4.4
464 6574 3.2 -4.2
464 7547 4.4 -1.6
465 6110 2.6 -1
465 6582 3.2 -2.6
465 6591 3.2 -0.8
465 6740 3.4 -3
465 6741 3.4 -2.8
465 6755 3.4 0
465 7387 4.2 -1.6
466 6430 3 -1
466 6581 3.2 -2.8
466 6582 3.2 -2.6
466 6740 3.4 -3
466 6741 3.4 -2.8
466 7387 4.2 -1.6
467 6111 2.6 -0.8
467 6430 3 -1
467 6582 3.2 -2.6
467 6741 3.4 -2.8
467 6909 3.6 -1.2
470 5951 2.4 -0.8
470 6099 2.6 -3.2
470 6748 3.4 -1.4
471 6093 2.6 -4.4
471 6094 2.6 -4.2
471 6110 2.6 -1
471 6252 2.8 -4.6
471 6253 2.8 -4.4
471 6595 3.2 0
472 6099 2.6 -3.2
472 6110 2.6 -1
472 6595 3.2 0
473 5633 2 -0.4
473 6099 2.6 -3.2
473 6110 2.6 -1
473 6595 3.2 0
475 5949 2.4 -1.2
475 5952 2.4 -0.6
475 6099 2.6 -3.2
475 6428 3 -1.4
475 6435 3 0
475 6581 3.2 -2.8
475 6582 3.2 -2.6
475 6740 3.4 -3
475 6741 3.4 -2.8
476 5944 2.4 -2.2
476 5949 2.4 -1.2
476 5952 2.4 -0.6
476 6420 3 -3
476 6428 3 -1.4
476 6577 3.2 -3.6
478 5632 2 -0.6
478 5782 2.2 -2.6
478 5949 2.4 -1.2
478 6114 2.6 -0.2
478 6420 3 -3
478 6577 3.2 -3.6
481 5473 1.8 -0.4
481 5782 2.2 -2.6
481 5950 2.4 -1
481 6114 2.6 -0.2
483 5472 1.8 -0.6
483 5949 2.4 -1.2
483 6257 2.8 -3.6
484 5311 1.6 -0.8
484 5473 1.8 -0.4
484 5949 2.4 -1.2
484 6256 2.8 -3.8
484 6257 2.8 -3.6
484 6415 3 -4
487 5303 1.6 -2.4
487 5311 1.6 -0.8
487 5620 2 -3
487 5948 2.4 -1.4
489 5298 1.6 -3.4
489 5299 1.6 -3.2
489 5300 1.6 -3
489 5311 1.6 -0.8
489 5788 2.2 -1.4
489 5793 2.2 -0.4
491 4992 1.2 -0.6
491 5298 1.6 -3.4
491 5299 1.6 -3.2
491 5300 1.6 -3
491 5470 1.8 -1
491 5793 2.2 -0.4
493 4992 1.2 -0.6
493 5298 1.6 -3.4
493 5299 1.6 -3.2
493 5300 1.6 -3
493 5312 1.6 -0.6
497 4831 1 -0.8
497 4979 1.2 -3.2
497 5312 1.6 -0.6
497 5777 2.2 -3.6
497 5936 2.4 -3.8
499 4512 0.6 -0.6
499 4829 1 -1.2
499 4979 1.2 -3.2
499 5311 1.6 -0.8
499 5313 1.6 -0.4
499 5616 2 -3.8
501 4512 0.6 -0.6
501 4979 1.2 -3.2
501 4989 1.2 -1.2
501 5313 1.6 -0.4
501 5614 2 -4.2
501 5615 2 -4
501 5616 2 -3.8
501 5774 2.2 -4.2
503 4351 0.4 -0.8
503 4820 1 -3
503 4829 1 -1.2
503 5136 1.4 -3.8
503 5137 1.4 -3.6
503 5312 1.6 -0.6
504 4351 0.4 -0.8
504 4992 1.2 -0.6
504 5136 1.4 -3.8
504 5137 1.4 -3.6
505 4351 0.4 -0.8
505 4501 0.6 -2.8
505 4833 1 -0.4
505 5147 1.4 -1.6
505 5298 1.6 -3.4
505 5299 1.6 -3.2
505 5300 1.6 -3
507 4190 0.2 -1
507 4658 0.8 -3.4
507 4991 1.2 -0.8
507 5136 1.4 -3.8
507 5137 1.4 -3.6
508 4190 0.2 -1
508 4658 0.8 -3.4
508 4668 0.8 -1.4
508 4834 1 -0.2
508 4992 1.2 -0.6
508 5136 1.4 -3.8
508 5137 1.4 -3.6
510 4031 0 -0.8
510 4658 0.8 -3.4
510 4992 1.2 -0.6
510 5136 1.4 -3.8
510 5137 1.4 -3.6
512 4031 0 -0.8
512 4658 0.8 -3.4
512 4974 1.2 -4.2
512 4992 1.2 -0.6
513 4031 0 -0.8
513 4667 0.8 -1.6
513 4974 1.2 -4.2
515 4031 0 -0.8
515 4179 0.2 -3.2
515 4338 0.4 -3.4
515 4667 0.8 -1.6
516 4020 0 -3
516 4031 0 -0.8
516 4667 0.8 -1.6
516 4974 1.2 -4.2
517 4021 0 -2.8
517 4031 0 -0.8
517 4338 0.4 -3.4
517 4667 0.8 -1.6
517 4974 1.2 -4.2
520 3710 -0.4 -1
520 4017 0 -3.6
520 4029 0 -1.2
520 4512 0.6 -0.6
520 4658 0.8 -3.4
521 3710 -0.4 -1
521 4017 0 -3.6
521 4188 0.2 -1.4
521 4673 0.8 -0.4
524 3701 -0.4 -2.8
